"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"The Dictionary of the Hiiu Dialect";"http://doi.org/10.15155/3-00-0000-0000-0000-05B51L";"6,300 entries";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This dialectal dictionary is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/hiiu/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05B51L";;;
"The Dictionary of the Kihnu Dialect";"http://doi.org/10.15155/3-00-0000-0000-0000-06326L";"6,000 keywords";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is the first dictionary of the Hiiu vernacular. The entries also give sentence examples with reference to their source parish. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/kihnu/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-06326L";;;
"The Dictionary of the Mulgi Dialect";"http://doi.org/10.15155/3-00-0000-0000-0000-06336L";"4,000 keywords";"sentence examples, synonymy";"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is a dialectal dictionary searchable by keyword (in dialect spelling), standard Estonian equivalent (meaning) or style label. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/mulgi/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-06336L";;;
"The Dictionary of the Seto Dialect";"http://doi.org/10.15155/3-00-0000-0000-0000-05B4FL";"6,000 keywords";"dialect orthography and simplified spelling without diacritical marks";"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is the first online Seto dictionary accessible to search both in dialect orthography and in simplified spelling (without diacritical marks). The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/setosonastik/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05B4FL";;;
"The Estonian Etymological Dictionary";"http://www.doi.org/10.15155/3-00-0000-0000-0000-05770L";"6,600 keywords";"origin of Estonian word stems and the genetic links between words (loanwords, genuine stems, artificially coined stems etc)";"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This etymological dictionary is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/ety/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05770L";;;
"The Explanatory Dictionary of Estonian Language";"http://www.doi.org/10.15155/3-00-0000-0000-0000-0576BL";"154,000 keywords";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is the biggest dictionary of the Estonian language, which covers Estonian standard language as a whole, including spoken language and special languages. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/ekss/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-0576BL";;;
"Dictionary of Contemporary Finnish";"http://urn.fi/urn:nbn:fi:lb-201411261";"100,000 entries";;"CLARIN RES";"http://urn.fi/urn:nbn:fi:lb-201802223";"Finnish";"This is a dictionary of modern Finnish that is available for online browsing through the Language Bank of Finland.";"Dictionaries";"Browse";"http://www.kielitoimistonsanakirja.fi/";;;
"Dictionary of Finnish Dialects";"http://urn.fi/urn:nbn:fi:lb-201411263";"growing";;"CLARIN RES";"http://urn.fi/urn:nbn:fi:lb-201802223";"Finnish";"This is a dialect dictionary that is available for online browsing through the Language Bank of Finland.";"Dictionaries";"Browse";"http://kaino.kotus.fi/sms";;;
"Dictionary of Old Literary Finnish";"http://urn.fi/urn:nbn:fi:lb-201411262";"growing";;"CC-BY 4.0";"https://creativecommons.org/licenses/by/4.0";"Finnish";"This is a dictionary of Old Literary Finish. The resource is available for online browsing through the Language Bank of Finland.";"Dictionaries";"Browse";"http://kaino.kotus.fi/vks";;;
"Wurdboek fan de Frsyke taal";"http://gtb.ivdnt.org/search/?owner=wft";"120,000 lemmas";;"other";;"Frisian";"This dictionary describes the meaning and history of hundred thousands of words in written Frisian, from the period 1800-1976. The resource is available for online browsing through the Dutch Language Institute (INT).";"Dictionaries";"Browse";"http://gtb.ivdnt.org/search/?owner=wft";;;
"Digital Dictionary of the German Language (DWDS)";"https://www.dwds.de/";"approx. 500,000 entries";"morphosyntactic information, pronunciation, etymology, lexical relations, examples of use, typical word connections";;;"German";"This collection consists of the following digitized dictionaries:#SEP<ol>     <li><a href=""https://www.dwds.de/d/wb-wdg"">Dictionary of contemporary German</a></li>     <li><a href=""https://www.dwds.de/d/wb-dwdswb"">DWDS-Dictionary</a></li>     <li><a href=""https://www.dwds.de/d/wb-etymwb"">Etymological dictionary of German</a></li>     <li><a href=""https://www.dwds.de/d/wb-1dwb"">The German Dictionary by Jacob Grimm and Wilhelm Grimm</a></li>     <li><a href=""https://www.dwds.de/d/wb-duden"">The Great Dictionary of the German Language in 10 Volumes</a></li>     <li><a href=""https://www.dwds.de/d/wb-openthesaurus"">OpenThesaurus</a></li>    </ol>#SEPThis collection is available for online browsing from a dedicated environment associated with CLARIN-D.";"Dictionaries";"Browse";"http://www.dwds.de/";;;
"A Dictionary of Contemporary Icelandic";"http://hdl.handle.net/20.500.12537/94";"56,000 entries";"morphosyntactic information, pronunciation with sound excerpts";"CC BY-SA 4.0";"https://creativecommons.org/licenses/by-sa/4.0";"Icelandic";"The dictionary, which is based on the multilingual <a href=""http://hdl.handle.net/20.500.12537/10"">ISLEX dictionary</a>, describes Icelandic vocabulary from around 1950 up to the present date. Important words belonging to older stages of the language are also included, in addition to Old Icelandic words that students may encounter in their studies (such as bolöxi, fjörbaugsgarður, hjálmvölur and jarteikn). New words are added to the dictionary now and then and the definitions and examples are constantly being updated. All headwords have links to sound files with their pronunciation, and inflections are shown by links to the <a href=""http://hdl.handle.net/20.500.12537/5"">Database of Modern Icelandic Inflection</a>.#SEPThis dictionary is available for download from the CLARIN.IS repository and for online browsing through a dedicated interface.";"Dictionaries";"Browse#SEPDownload";"https://islenskordabok.arnastofnun.is/#SEPhttp://hdl.handle.net/20.500.12537/94";;;
"Icelandic Pronunciation Dictionary";"http://hdl.handle.net/20.500.12537/181";"65,000 words";"IPA and SAMPA phonetic transcription";"CC-BY 4.0";"https://creativecommons.org/licenses/by/4.0";"Icelandic";"This is a dictionary with pronunciation information for common Icelandic words. The resource is available for download from the CLARIN-IS repository.";"Dictionaries";"Download";"http://hdl.handle.net/20.500.12537/181";;;
"Karelian Dictionary";"http://urn.fi/urn:nbn:fi:lb-20140730157";"83,000 entries";;"CC-BY 4.0";"https://creativecommons.org/licenses/by/4.0";"Karelian";"This is a monolingual dictionary that is available for download and for online browsing through the Language Bank of Finland.";"Dictionaries";"Browse#SEPDownload";"http://kaino.kotus.fi/cgi-bin/kks/kks_etusivu.cgi#SEPhttp://urn.fi/urn:nbn:fi:lb-2015110501";;;
"Dictionary of Contemporary Latvian Language (MLVV)";"http://hdl.handle.net/20.500.12574/88";"58,204 entries";;"CC BY-SA 4.0";"http://creativecommons.org/licenses/by-sa/4.0/";"Latvian";"This is a dictionary that contains examples of the standard Latvian language.#SEPThe dictionary is available for online browsing and for download from the CLARIN-LV repository.";"Dictionaries";"Browse#SEPDownload";"https://tezaurs.lv/mlvv/#SEPhttp://hdl.handle.net/20.500.12574/88";;;
"Historical Dictionary of Latvian (16th-17th Centuries) (LVVV)";"http://hdl.handle.net/20.500.12574/3";"1,800 entries";;;;"Latvian";"This is a dictionary of Latvian from the period between the 16th and 17th centuries with a reference to the “Historical Corpus of the Latvian Language”. The resource is available for online browsing.";"Dictionaries";"Browse";"http://tezaurs.lv/lvvv/";"Andronova et al. (2016)";"https://www.clarin.eu/resource-families/lexical-resources-dictionaries#Andronova%20et%20al.%202016";
