"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Helsinki Corpus of Scottish Correspondence (1540-1750)";"http://urn.fi/urn:nbn:fi:lb-201411071";"English";"500,000 tokens";"tokenised";"CLARIN ACA";"";"This corpus contains personal correspondence from 1540 to 1750.#SEPThe corpus is available through the concordancer Korp.";"Historical corpora";"Concordancer";"http://urn.fi/urn:nbn:fi:lb-2016121607";"";"";""
"Older Scottish texts : the Edinburgh DOST corpus / A.J. Aitken, Paul Bratley and Neil Hamilton-Smith";"http://hdl.handle.net/20.500.12024/0701";"English";"877,000 tokens";"tokenised";"CC-BY-NC-SA 3.0";"";"This corpus contains texts from 1450 to 1600.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/0701";"";"";""
"Pamphlets of the American Revolution : [selections] / edited by Bernard Bailyn";"http://hdl.handle.net/20.500.12024/2021";"English";"431,013 words";"";"CC-BY-NC-SA 3.0";"";"This corpus contains pamphlets of the American Revolution from 1750 to 1776.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2021";"";"";""
"Parsed Corpus of Early English Correspondence (PCEEC)";"http://hdl.handle.net/20.500.12024/2510";"English";"2.2 million words";"tokenised, PoS-tagged, syntactically parsed";"Oxford Text Archive licence";"";"This corpus contains correspondence from around 1410 to 1681.#SEPThis corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2510";"";"";""
"Royal Society Corpus (Version 4.0)";"http://hdl.handle.net/21.11119/0000-0001-7E8B-6";"English";"35 million tokens";"PoS-tagged using PennTreebank tagset, lemmatised, normalised";"CC-BY-NC-SA-4.0";"";"This corpus contains articles from the <a href=""http://rstl.royalsocietypublishing.org/""> Philosophical Transactions of the Royal Society of London</a> journal from 1665 to 1869.#SEPThe corpus is available for download from the CLARIN-D repository as well as through a concordancer.";"Historical corpora";"Concordancer#SEPDownload ";"http://fedora.clarin-d.uni-saarland.de/rsc_v4/access.html#cqpweb#SEPhttp://fedora.clarin-d.uni-saarland.de/rsc_v4/access.html#download";"";"";""
"The English language of the north-west in the late Modern English period: a Corpus of late 18c Prose";"http://hdl.handle.net/20.500.12024/2468";"English";"300,000 words";"COCOA-style";"Oxford Text Archive licence";"";"This corpus contains texts from 1761 to 1790.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2468";"";"";""
"The Lampeter Corpus of Early Modern English Tracts";"http://hdl.handle.net/20.500.12024/3193";"English";"50,797,916 words";"no linguistic annotation";"CC-BY-NC-SA 3.0";"";"This corpus contains tracts from 1640 to 1740.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/3193";"";"";""
"The Lancaster Newsbooks Corpus";"http://hdl.handle.net/20.500.12024/2531";"English";"3,001,604 words";"";"CC-BY-NC-SA 3.0";"";"This corpus contains two collections of English newsbooks from 1654 to 1655.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2531";"";"";""
"Corpus of Historical American English - Kielipankki Korp version 2017H1";"http://urn.fi/urn:nbn:fi:lb-2017061925";"English (American)";"385 million tokens";"tokenised";"CLARN ACA";"";"This corpus contains texts from 1810 to 2009.#SEPThe corpus is available through the concordancer Korp.";"Historical corpora";"Concordancer";"http://urn.fi/urn:nbn:fi:lb-2017061934";"";"";""
"The Corpus of Late Modern English Texts, version 3.1";"http://hdl.handle.net/21.11119/0000-0002-43F3-0";"English (Late Modern)";"34 million words";"PoS-tagged";"CC-BY-NC-SA 4.0";"";"This corpus contains texts written by British and Irish authors from 1710 to 1920.#SEPThe corpus is available for download from a CLARIN-D repository.  ";"Historical corpora";"Download";"http://fedora.clarin-d.uni-saarland.de/clmet/clmet3_1.zip";"";"";""
"The Old Bailey Corpus";"http://hdl.handle.net/11858/00-246C-0000-0023-8CFB-2";"English (Late Modern)";"134 million words";"detailed sociobiographical, pragmatic and textual annotation";"CC-BY-NC-SA 4.0";"";"This corpus contains proceedings of the Old Bailey (i.e., legal documents) from 1674 to 1913.#SEPThe corpus is available for download from the CLARIN-D repository and through the CQPConcordancer.#SEPFor the corpus manual, see <a href=""https://www.clarin.eu/resource-families/historical-corpora#Huber%20et%20al.%202016"">Huber et al. (2016).</a>";"Historical corpora";"Concordancer#SEPDownload";"http://corpora.clarin-d.uni-saarland.de/cqpweb#SEPhttp://fedora.clarin-d.uni-saarland.de/oldbailey/downloads.html";"";"";""
"Helsinki corpus of English texts";"http://hdl.handle.net/20.500.12024/1477";"English (Old and Middle)";"240,000 words";"";"Oxford Text Archive licence";"";"This corpus contains Biblical and fictional texts from 730 to 1710.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/1477";"";"";""
"The York-Helsinki parsed corpus of Old English poetry (YCOEP)";"http://hdl.handle.net/20.500.12024/2425";"English (Old)";"71,500 words";"syntactically-parsed";"Oxford Text Archive licence";"";"This corpus contains poems from 730 to 1710.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2425";"";"";""
